loanID,loanPerformance,loanPerformNum,loanDateOpened,appAge,appChkSv,appFinanceCo,appIncome,appMaritalStatus,appOcc,appResidence,appOrigScore,appTimeAddress,cb90Ever,cbFICO,cbInq5Mos,cbMosAvg,cbMosDlq,cbMosInq,cbPctGood,cbTimeFile,cbTimeFileYears,cbUtilizn,dealLoanToVal,dealPctDown,dealNewUsed,sampwt,target
AL120000058-06304,Paid as agreed,7,2007-04-15 Sun,26,None,National,"1,625.00",SI,g,Renting,230,1,0,757,1,,,0,80,56,4,2,81.2,18.8,Used,28.341,1
AL120000096-08542,Charged-off,3,2007-01-01 Mon,23,None,Unknown,"2,050.00",SI,g,Parents,194,0,1,609,6,,3,0,63,28,2,0,85.5,14.5,Used,16.11,0
AL120000112-08887,Charged-off,3,2006-07-14 Fri,38,Chk & Sv,National,"1,500.00",SI,b,Renting,188,0,0,586,4,,,0,100,17,1,47,81.9,18.1,Used,4.702,0
AL120000199-08633,Charged-off,3,2006-10-25 Wed,30,Checking,Home Equity,"1,600.00",SI,k,Renting,188,0,0,609,5,2,7,0,50,84,7,77,88.9,11.1,Used,2.257,0
AL120000303-06480,Paid as agreed,7,2007-02-28 Wed,37,Chk & Sv,National,"2,060.00",M,b,Renting,193,2,0,612,7,32,,0,100,23,1,,65,35,Used,48.77,1
AL120000373-07008,Delq 3+ cycles,4,2007-03-10 Sat,47,Chk & Sv,Unsecured,"3,416.00",DI,b,Owns Home,211,12,0,682,3,,81,0,63,134,11,,100,0,New,0.996,0
AL120000405-05883,Paid as agreed,7,2007-04-18 Wed,25,Chk & Sv,National,"10,100.00",SI,r,Owns Home,234,0,0,750,1,8,,0,100,76,6,25,81.2,18.8,Used,28.341,1
AL120000542-07231,Delq 3+ cycles,4,2007-03-24 Sat,22,Checking,Home Equity,"1,640.00",M,r,Renting,194,0,0,639,13,,,0,100,14,1,,86.8,13.2,New,1.007,0
AL120000692-05306,Paid as agreed,7,2007-03-09 Fri,40,Checking,Home Equity,"1,595.00",M,f,Parents,187,2,0,592,4,,3,0,93,50,4,81,85,15,New,28.341,1
AL120000713-05359,Paid as agreed,7,2006-08-14 Mon,42,Chk & Sv,National,"5,916.00",M,f,Owns Home,215,19,0,718,1,,,0,100,184,15,39,63.6,36.4,New,28.341,1
AL120000753-06405,Paid as agreed,7,2007-03-19 Mon,42,Checking,National,"1,600.00",SP,b,Owns Home,212,3,0,685,5,11,26,0,85,74,6,14,89,11,Used,50.045,1
AL120000952-07272,Charged-off,3,2006-12-22 Fri,28,Chk & Sv,National,"1,550.00",M,g,Owns Home,174,1,1,572,2,33,1,0,40,88,7,,36.9,63.1,New,1.18,0
AL120000959-04429,Paid as agreed,7,2006-09-06 Wed,26,Checking,National,"1,958.00",M,g,Parents,181,11,3,596,7,,1,0,33,76,6,85,85.5,14.5,New,44.908,1
AL120001090-07166,Delq 3+ cycles,4,2006-08-19 Sat,23,Checking,National,"1,000.00",WD,w,Parents,184,20,0,595,1,,,1,80,32,2,92,87.5,12.5,New,6.082,0
AL120001209-05071,Paid as agreed,7,2006-09-07 Thu,27,Chk & Sv,Retail,"2,600.00",LT,w,Renting,206,5,2,637,8,,7,0,13,95,7,0,80.2,19.8,New,47.077,1
AL120001251-08823,Delq 3+ cycles,4,2006-10-05 Thu,49,Checking,National,"2,400.00",M,p,Owns Home,210,10,0,666,8,19,,0,100,46,3,80,89.5,10.5,Used,1.007,0
AL120001262-05447,Paid as agreed,7,2007-06-21 Thu,,None,Unknown,"2,800.00",M,y,Owns Home,193,0,2,,0,2,29,,33,72,6,,82.8,17.2,New,49.176,1
AL120001376-06520,Charged-off,3,2007-01-28 Sun,33,Checking,National,"1,800.00",SP,u,Renting,205,0,0,671,7,1,,0,100,33,2,40,47.4,52.6,New,0.277,0
AL120001538-04437,Paid as agreed,7,2007-01-09 Tue,64,Chk & Sv,National,"2,500.00",M,g,Owns Home,175,19,0,612,7,,13,0,83,262,21,79,94.2,5.8,New,48.666,1
AL120001589-06314,Paid as agreed,7,2007-03-11 Sun,29,Savings,National,"1,217.00",M,p,Parents,213,10,0,694,3,,70,0,80,126,10,41,95.6,4.4,Used,28.341,1
AL120001605-05248,Paid as agreed,7,2006-10-27 Fri,24,Checking,National,"2,992.00",M,g,Renting,190,0,0,635,5,37,,0,100,35,2,112,88.3,11.7,New,46.51,1
AL120001623-06580,Delq 3+ cycles,4,2006-09-22 Fri,49,Chk & Sv,Unsecured,"1,180.00",LT,p,Owns Home,225,25,0,706,1,,81,0,95,138,11,33,91.3,8.7,New,1.007,0
AL120001628-08979,Delq 3+ cycles,4,2006-07-27 Thu,24,Chk & Sv,National,"2,000.00",DI,g,Owns Home,195,0,0,618,4,3,,0,100,12,1,91,88.5,11.5,Used,8.803,0
AL120001819-04289,Paid as agreed,7,2006-09-26 Tue,28,Chk & Sv,National,"2,054.00",M,p,Owns Home,179,3,0,554,2,,2,1,67,50,4,83,97.2,2.8,New,28.341,1
AL120001840-06419,Paid as agreed,7,2007-06-28 Thu,49,Chk & Sv,Home Equity,"2,500.00",SP,y,Owns Home,166,5,1,537,3,,2,0,64,107,8,76,57,43,Used,49.506,1
AL120001868-06080,Paid as agreed,7,2006-09-26 Tue,27,Chk & Sv,Retail,820,SI,w,Parents,191,5,0,641,5,57,,0,50,29,2,,90.9,9.1,Used,45.412,1
AL120001885-06605,Charged-off,3,2006-08-02 Wed,50,Checking,Unsecured,"2,900.00",M,u,Owns Home,185,0,0,627,3,,,0,60,85,7,,88,12,New,1.007,0
AL120002042-07930,Charged-off,3,2007-01-19 Fri,23,Checking,Unsecured,"2,180.00",M,g,Renting,201,1,0,634,3,,,0,0,26,2,,86.5,13.5,New,10.262,0
AL120002123-04134,Paid as agreed,7,2006-09-05 Tue,25,Chk & Sv,National,"1,593.00",M,r,Renting,204,1,0,697,14,4,,0,100,50,4,31,82.7,17.3,New,49.33,1
AL120002153-05051,Paid as agreed,7,2007-05-17 Thu,20,Savings,National,850,M,y,Sublease,159,0,1,485,26,30,1,0,20,24,2,89,89.6,10.4,New,19.519,1
